dataset,model,layer,case_type,n,fraction,median_behavioral_alignment,median_latent_alignment,mean_behavioral_alignment,mean_latent_alignment,median_abs_alignment_gap,mean_abs_alignment_gap,median_signed_alignment_gap
not,gemma-2-9b-it,17,aligned_output_misaligned_latent,492,0.3936,0.9993487,0.0020957941000000002,0.9665325802148373,0.021026873388638213,0.9901712460000001,0.9455057068261992,-0.9901712460000001
not,gemma-2-9b-it,17,misaligned_output_aligned_latent,103,0.0824,0.05340330000000004,0.9983594492,0.10958817625242719,0.9799450625113593,0.9313441504,0.870356886258932,0.9313441504
not,gemma-2-9b-it,17,both_misaligned,123,0.0984,0.05834585000000003,0.0004942000000000002,0.10045825215447154,0.021559380747967486,0.05831419999999998,0.09622743010569106,-0.03726973
not,gemma-2-9b-it,18,both_aligned,506,0.4048,0.9993687849999999,0.9965021000000001,0.9673846142820158,0.9767301665678261,0.010391399250000044,0.049129840407549405,-0.0022827800000000398
not,gemma-2-9b-it,18,aligned_output_misaligned_latent,518,0.4144,0.99839592125,0.004499150000000007,0.9715595232272201,0.020456789326749034,0.9858182705,0.951102733900471,-0.9858182705
not,gemma-2-9b-it,18,misaligned_output_aligned_latent,122,0.0976,0.05877807500000004,0.99967381358,0.10447894004098361,0.977917576738041,0.9229767045299999,0.8734386366970573,0.9229767045299999
not,gemma-2-9b-it,18,both_misaligned,104,0.0832,0.049377950000000004,0.004328100000000001,0.10478381234615385,0.019576435672403844,0.05525081000000004,0.09905336513528845,-0.03026390000000001
not,gemma-2-9b-it,19,both_aligned,530,0.424,0.99839592125,0.997066257,0.9713732871201887,0.9804517622128491,0.007656331000000016,0.042258242244358486,0.00011981999999999271
not,gemma-2-9b-it,19,aligned_output_misaligned_latent,494,0.3952,0.99937373,0.00348232545,0.9674830074589069,0.022254632964190287,0.9866468065,0.9452283744947166,-0.9866468065
not,gemma-2-9b-it,19,misaligned_output_aligned_latent,106,0.0848,0.05461322500000004,0.99641159925,0.1068937177735849,0.9820468142037736,0.92166550275,0.8751530964301887,0.92166550275
not,gemma-2-9b-it,19,both_misaligned,120,0.096,0.05471429,0.00022013500000001018,0.10261010904166668,0.024040332579999997,0.05461511499999999,0.09816746746166667,-0.03809085999999995
not,gemma-2-9b-it,20,both_aligned,988,0.7904,0.9992563,0.99538913315,0.9700187981461539,0.9829309985117813,0.008518874999999926,0.04118746956036437,-0.001392025000000019
not,gemma-2-9b-it,20,aligned_output_misaligned_latent,36,0.0288,0.995035235,0.081061155,0.9551632025000001,0.10916278984444444,0.885664156,0.8460004126555556,-0.885664156
not,gemma-2-9b-it,20,misaligned_output_aligned_latent,214,0.1712,0.06053093500000001,0.9853428,0.10867991640186916,0.9699299949756074,0.903604104,0.8612500785737384,0.903604104
not,gemma-2-9b-it,20,both_misaligned,12,0.0096,0.0016570499999999933,0.028628578499999995,0.03220375491666667,0.1305406483,0.14823421625,0.15725480661666666,0.025675940000000008
not,gemma-2-9b-it,21,both_aligned,983,0.7864,0.9992563,0.9963116646,0.9698728007206511,0.9846820881796847,0.006876083600000027,0.03989830427754831,-0.000796339999999951
not,gemma-2-9b-it,21,aligned_output_misaligned_latent,41,0.0328,0.99637836,0.08046985,0.9604752378048781,0.10692455001707317,0.883470346,0.8535506877878049,-0.883470346
not,gemma-2-9b-it,21,misaligned_output_aligned_latent,213,0.1704,0.06097520000000001,0.987408161,0.10917966089201878,0.9743581182515023,0.89993835,0.8651784573594836,0.89993835
not,gemma-2-9b-it,21,both_misaligned,13,0.0104,0.0017409999999999926,0.15758203999999998,0.029898415307692307,0.13304029123846153,0.16709000000000007,0.15593012560769232,0.15718694
not,gemma-2-9b-it,22,both_aligned,991,0.7928,0.9992563,0.9959446164,0.9700739986159436,0.9837497939026842,0.006872659999999975,0.040984191562219975,-0.0010721999999999676
not,gemma-2-9b-it,22,aligned_output_misaligned_latent,33,0.0264,0.9951703,0.085612595,0.952155006969697,0.11486609393939395,0.86838523,0.8372889130303031,-0.86838523
not,gemma-2-9b-it,22,misaligned_output_aligned_latent,212,0.1696,0.06097520000000001,0.9882176805,0.10960020896226416,0.9741043120076888,0.9043676080999999,0.8645041030454246,0.9043676080999999
not,gemma-2-9b-it,22,both_misaligned,14,0.0112,0.001987669999999997,0.06481273500000001,0.029193062071428574,0.1299375993214286,0.10206781000000004,0.15132009846428573,0.06440976000000004
not,gemma-2-9b-it,23,both_aligned,990,0.792,0.9992620999999999,0.9963919558500001,0.9700844836852525,0.9830493719992526,0.007089559999999995,0.04236262200107071,-0.0009339650000000366
not,gemma-2-9b-it,23,aligned_output_misaligned_latent,34,0.0272,0.994584935,0.080933375,0.9523767355882353,0.1060626964352941,0.8891151399999999,0.8463140391529411,-0.8891151399999999
not,gemma-2-9b-it,23,misaligned_output_aligned_latent,207,0.1656,0.06187600000000004,0.989486003,0.11215962618357489,0.9732123594134783,0.8961417740000001,0.8610527332299034,0.8961417740000001
not,gemma-2-9b-it,23,both_misaligned,19,0.0152,0.0022343400000000013,0.050731659999999956,0.02246866047368421,0.12697436263157896,0.09107678829999999,0.14149974836842105,0.048497319999999955
not,gemma-2-9b-it,24,both_aligned,988,0.7904,0.9992534,0.995839165,0.9700188068506074,0.9834833753213866,0.0072497799999999835,0.041809805373208504,-0.0011276800000000198
not,gemma-2-9b-it,24,aligned_output_misaligned_latent,36,0.0288,0.995035235,0.095100142,0.9551629636111111,0.12951167628333335,0.8692751950000001,0.8256512873277777,-0.8692751950000001
not,gemma-2-9b-it,24,misaligned_output_aligned_latent,207,0.1656,0.06187600000000004,0.987690631,0.11215783971014492,0.9731927433416425,0.893620036,0.8610349036314975,0.893620036
not,gemma-2-9b-it,24,both_misaligned,19,0.0152,0.0022343400000000013,0.060123559999999965,0.022488123631578948,0.11130069077368422,0.0907031468,0.12556977812105263,0.041525900000000004
not,gemma-2-9b-it,25,both_aligned,986,0.7888,0.9992505,0.99547433,0.9699587869862069,0.9825516209270284,0.007640935000000015,0.04269579830958417,-0.0014086750000000259
not,gemma-2-9b-it,25,aligned_output_misaligned_latent,38,0.0304,0.995485725,0.10114542,0.9575022076315789,0.12615068347368422,0.875926507,0.8313515241578947,-0.875926507
not,gemma-2-9b-it,25,misaligned_output_aligned_latent,207,0.1656,0.06187600000000004,0.989827028,0.11215783971014492,0.9761034401399034,0.90207571,0.8639456004297584,0.90207571
not,gemma-2-9b-it,25,both_misaligned,19,0.0152,0.0022343400000000013,0.07947230000000005,0.022488123631578948,0.11937604430000001,0.13270025000000008,0.1337836224894737,0.07449000000000006
not,gemma-2-9b-it,26,both_aligned,987,0.7896,0.9992505,0.9957485,0.9699434394107397,0.9828316071538602,0.007204639999999984,0.04254471663086119,-0.001296640000000071
not,gemma-2-9b-it,26,aligned_output_misaligned_latent,37,0.0296,0.99580115,0.08186698,0.9575749502702703,0.11851579978378379,0.875542205,0.8390591504864865,-0.875542205
not,gemma-2-9b-it,26,misaligned_output_aligned_latent,208,0.1664,0.061425600000000025,0.988141775,0.11164767274038462,0.9774537608572115,0.9056918345,0.8658060881168269,0.9056918345
not,gemma-2-9b-it,26,both_misaligned,18,0.0144,0.002095699999999978,0.09814703000000002,0.0234017355,0.11561698312777777,0.10164612499999998,0.1307193523722222,0.085644145
not,gemma-2-9b-it,27,both_aligned,983,0.7864,0.9992505,0.9951447644,0.9698752079230926,0.9830500109437234,0.008439847999999972,0.04232547661615463,-0.0017374999999999474
not,gemma-2-9b-it,27,aligned_output_misaligned_latent,41,0.0328,0.99580115,0.09789719,0.9604175236585366,0.14343068449512197,0.8556961599999999,0.8169868391634146,-0.8556961599999999
