model,layer,relative_depth,depth_category,latent_accuracy,behavioral_accuracy,latent_behavioral_agreement,latent_predicted_harmful_rate,n_samples
Gemma 2 9B,27,0.6341463414634146,Late,0.9558232931726908,0.46184738955823296,0.4979919678714859,0.5020080321285141,249
Gemma 2 9B,28,0.6585365853658537,Late,0.9437751004016064,0.46184738955823296,0.5180722891566265,0.4819277108433735,249
Gemma 2 9B,29,0.6829268292682927,Late,0.9437751004016064,0.46184738955823296,0.5020080321285141,0.4979919678714859,249
Gemma 2 9B,30,0.7073170731707317,Late,0.9397590361445783,0.46184738955823296,0.5140562248995983,0.4859437751004016,249
Gemma 2 9B,31,0.7317073170731707,Late,0.9076305220883534,0.46184738955823296,0.4899598393574297,0.5100401606425703,249
Gemma 2 9B,32,0.7560975609756098,Late,0.9156626506024096,0.46184738955823296,0.4979919678714859,0.5020080321285141,249
Gemma 2 9B,33,0.7804878048780488,Late,0.9036144578313253,0.46184738955823296,0.4859437751004016,0.5140562248995983,249
Gemma 2 9B,34,0.8048780487804879,Very late,0.8995983935742972,0.46184738955823296,0.4819277108433735,0.5180722891566265,249
Gemma 2 9B,35,0.8292682926829268,Very late,0.9076305220883534,0.46184738955823296,0.4738955823293173,0.5261044176706827,249
Gemma 2 9B,36,0.8536585365853658,Very late,0.8755020080321285,0.46184738955823296,0.4578313253012048,0.5421686746987951,249
Gemma 2 9B,37,0.8780487804878049,Very late,0.8875502008032129,0.46184738955823296,0.4538152610441767,0.5461847389558233,249
Gemma 2 9B,38,0.9024390243902439,Very late,0.8875502008032129,0.46184738955823296,0.46987951807228917,0.5301204819277109,249
Gemma 2 9B,39,0.926829268292683,Very late,0.8875502008032129,0.46184738955823296,0.4457831325301205,0.5542168674698795,249
Gemma 2 9B,40,0.9512195121951219,Very late,0.8795180722891566,0.46184738955823296,0.4538152610441767,0.5461847389558233,249
Gemma 2 9B,41,0.975609756097561,Very late,0.8835341365461847,0.46184738955823296,0.4497991967871486,0.5502008032128514,249
Gemma 2 9B,42,1.0,Very late,0.8795180722891566,0.46184738955823296,0.46184738955823296,0.5381526104417671,249
Gemma 2 9B IT,1,0.0,Very early,0.5421686746987951,0.8835341365461847,0.5060240963855421,0.5301204819277109,249
Gemma 2 9B IT,2,0.024390243902439025,Very early,0.6104417670682731,0.8835341365461847,0.6465863453815262,0.5261044176706827,249
Gemma 2 9B IT,3,0.04878048780487805,Very early,0.6024096385542169,0.8835341365461847,0.606425702811245,0.5180722891566265,249
Gemma 2 9B IT,4,0.07317073170731707,Very early,0.5983935742971888,0.8835341365461847,0.6184738955823293,0.5220883534136547,249
Gemma 2 9B IT,5,0.0975609756097561,Very early,0.5983935742971888,0.8835341365461847,0.6024096385542169,0.5301204819277109,249
Gemma 2 9B IT,6,0.12195121951219512,Very early,0.6506024096385542,0.8835341365461847,0.6626506024096386,0.5742971887550201,249
Gemma 2 9B IT,7,0.14634146341463414,Very early,0.6706827309236948,0.8835341365461847,0.5943775100401606,0.6104417670682731,249
Gemma 2 9B IT,8,0.17073170731707318,Very early,0.678714859437751,0.8835341365461847,0.6024096385542169,0.6184738955823293,249
Gemma 2 9B IT,9,0.1951219512195122,Very early,0.678714859437751,0.8835341365461847,0.6024096385542169,0.6184738955823293,249
Gemma 2 9B IT,10,0.21951219512195122,Early,0.6827309236947792,0.8835341365461847,0.606425702811245,0.6224899598393574,249
Gemma 2 9B IT,11,0.24390243902439024,Early,0.678714859437751,0.8835341365461847,0.6024096385542169,0.6265060240963856,249
Gemma 2 9B IT,12,0.2682926829268293,Early,0.6746987951807228,0.8835341365461847,0.5983935742971888,0.6305220883534136,249
Gemma 2 9B IT,13,0.2926829268292683,Early,0.6746987951807228,0.8835341365461847,0.5983935742971888,0.6305220883534136,249
Gemma 2 9B IT,14,0.3170731707317073,Early,0.6827309236947792,0.8835341365461847,0.606425702811245,0.6224899598393574,249
Gemma 2 9B IT,15,0.34146341463414637,Early,0.6827309236947792,0.8835341365461847,0.606425702811245,0.6224899598393574,249
Gemma 2 9B IT,16,0.36585365853658536,Early,0.6827309236947792,0.8835341365461847,0.606425702811245,0.6224899598393574,249
Gemma 2 9B IT,17,0.3902439024390244,Early,0.6907630522088354,0.8835341365461847,0.6144578313253012,0.6305220883534136,249
Gemma 2 9B IT,18,0.4146341463414634,Middle,0.6706827309236948,0.8835341365461847,0.5943775100401606,0.642570281124498,249
